Sp;minimum_frequent_depth;maximum_frequent_depth;minimum_depth;maximum_depth
Rostrogammarus brevirostris (Bazikalova, 1945);50;100;2.5;122
Rostrogammarus longirostris (Bazikalova, 1945);100;336;2;336
Rostrogammarus amblyops (Bazikalova, 1945);503;650;503;650
Bathygammarus semenkewitschi (Sowinsky, 1915);200;1200;93;1200
Bathygammarus unguisetosus (Sowinsky, 1915);200;1250;44;1250
Bathygammarus okunewae (Tachteew, 1995);125;1250;125;1250
Bathygammarus lydiae (Bazikalova, 1935);200;1250;200;1250
Gymnogammarus macrurus Sowinsky, 1915;50;108;50;108
Inobsequentus galini (Tachteew, 2000);30;50;30;50
Macrohectopus branickii (Dybowsky, 1874);0;1410;0;1410
Parapallasea lagowskii (Dybowsky, 1874);200;1641;50;1641
Parapallasea borowskii (Dybowsky, 1874);100;600;10;1176
Parapallasea wosnessenskii Dorogostaisky, 1922;8;200;8;200
Parapallasea borowskii abyssalis (Dybowsky, 1874);600;1000;600;1000
Parapallasea sitnikovae Tachteew, 2001;5;15;5;15
Palicarinus puzyllii (Dybowsky, 1874);50;200;7;540
Palicarinus carinulatus (Dorogostaisky, 1922);30;60;3.5;165
Palicarinus niger (Garjajeff, 1901);30;100;3.5;250
Ceratogammarus dybowskii Sowinsky, 1915;300;1371;82;1371
Ceratogammarus acerus Bazikalova, 1937;210;1371;210;1371
Ceratogammarus cornutus (Sowinsky, 1915);200;700;82;1371
Polyacanthisca calceolata Bazikalova, 1937;1195;1641;1195;1641
Eucarinogammarus wagii (Dybowsky, 1874);16;300;16;300
Eucarinogammarus pallidus Dorogostaisky, 1922;1.5;400;1.5;400
Carinogammarus cinnamomeus (Dybowsky, 1874);20;100;3;200
Asprogammarus rhodophthalmus (Dybowsky, 1874);3;35;3;300
Asprogammarus microphthalmus (Dybowsky, 1874);10;100;1;1350
Asprogammarus seidlitzii (Dybowsky, 1874);50;1131;6;1131
Asprogammarus pulchellus (Dybowsky, 1874);300;1250;32;1250
Asprogammarus bathyphilus Bazikalova, 1975;62;232;62;232
Asprogammarus macropsis Bazikalova, 1975;54;320;54;320
Asprogammarus brachyurus Bazikalova, 1975;22;286;22;286
Asprogammarus strenuus Bazikalova, 1975;120;120;120;120
Aspretus bekmanae (Mekhanikova, Chapelle & De Broyer, 2001);792;1635;792;1635
Aspretus puer (Bazikalova, 1975);36;1115;36;1115
Aspretus pulchelliformis (Bazikalova, 1975);32;920;32;920
Cheirogammarus inflatus Sowinsky, 1915;790;790;790;790
Eulimnogammarus verrucosus (Gerstfeldt, 1858);0;5;0;15
Eulimnogammarus oligacanthus Bazikalova, 1945;0;3;0;3
Eulimnogammarus lividus (Dybowsky, 1874);0;18.5;0;18.5
Eulimnogammarus cruentus (Dorogostaisky, 1930);0.5;35;0.5;100
Eulimnogammarus czerskii (Dybowsky, 1874);1.5;25;1.5;125
Eulimnogammarus maackii (Gerstfeldt, 1858);0;15;0;40
Eulimnogammarus heterochirus Bazikalova, 1945;10;10;10;10
Eulimnogammarus cyanoides (Sowinsky, 1915);3;50;3;165
Eulimnogammarus burkani Bazikalova, 1945;49;49;49;49
Eulimnogammarus viridiformis (Sowinsky, 1915);140;140;140;140
Eulimnogammarus grandimanus Bazikalova, 1945;0;15;0;102
Eulimnogammarus viridis (Dybowsky, 1874);0;30;0;100
Eulimnogammarus canus (Dybowsky, 1874);0;12;0;123
Eulimnogammarus olivaceus (Dybowsky, 1874);0;30;0;30
Eulimnogammarus viridulus Bazikalova, 1945;0.5;30;0.5;30
Eulimnogammarus marituji Bazikalova, 1945;30;30;30;30
Eulimnogammarus vittatus (Dybowsky, 1874);0;2;0;43
Eulimnogammarus inconspicuus Bazikalova, 1945;0;1;0;1
Eulimnogammarus testaceus (Dybowsky, 1874);0.25;1;0;1
Eulimnogammarus melanochlorus (Dorogostaisky, 1930);1;2;1;2
Eulimnogammarus cyaneus (Dybowsky, 1874);0;1;0;3.5
Eulimnogammarus messerschmidtii Bedulina & Tachteew, 2014;0;1;0;1
Eulimnogammarus cyanellus Bazikalova, 1945;1.5;54;1.5;54
Eulimnogammarus exiguus Bazikalova, 1945;26;26;26;26
Eulimnogammarus obsoletus Bazikalova, 1945;1;18.5;1;18.5
Eulimnogammarus simpliciformis Bazikalova, 1975;5;8;5;8
Eulimnogammarus fuscus (Dybowsky, 1874);2;20;2;273
Eulimnogammarus longicornis Bazikalova, 1945;2.5;30;2.5;97
Eulimnogammarus murinus (Dybowsky, 1874);20;297;3.5;297
Eulimnogammarus aheneus (Dybowsky, 1874);12;500;12;500
Eulimnogammarus setosus (Dybowsky, 1874);50;500;50;500
Eulimnogammarus asetus Bazikalova, 1945;62;594;62;594
Eulimnogammarus aheneoides Bazikalova, 1945;200;860;68;860
Eulimnogammarus succineus (Dybowsky, 1874);50;500;50;500
Eulimnogammarus miniatus (Dybowsky, 1874);50;500;50;500
Eulimnogammarus similis (Sowinsky, 1915);4;26;4;107
Eulimnogammarus byrkini (Sowinsky, 1915);10;50;10;50
Eulimnogammarus proximus (Sowinsky, 1915);25;40;25;40
Eulimnogammarus hyacinthinus (Dybowsky, 1874);2;100;2;236
Eulimnogammarus affinis (Sowinsky, 1915);50;120;50;120
Eulimnogammarus saphirinus (Dybowsky, 1874);300;300;300;300
Eulimnogammarus virgatus (Dorogostaisky, 1930);200;200;200;200
Eulimnogammarus stenophthalmus (Dybowsky, 1874);200;298;200;298
Eulimnogammarus ussolzewii (Dybowsky, 1874);100;697;36;697
Eulimnogammarus ussolzewii abyssorum (Dybowsky, 1874);200;1000;200;1000
Eulimnogammarus brachycoxalis Bazikalova, 1945;200;1000;100;1000
Eulimnogammarus schamanensis (Dybowsky, 1874);60;200;42;440
Eulimnogammarus parvexii (Dybowsky, 1874);100;300;20;1300
Eulimnogammarus parvexiformis Bazikalova, 1945;560;610;560;610
Eulimnogammarus polyarthrus (Dybowsky, 1874);6;700;6;700
Eulimnogammarus kusnezowi (Sowinsky, 1915);300;1000;189;1000
Eulimnogammarus rachmanowi (Sowinsky, 1915);900;900;900;900
Eulimnogammarus ibex (Dybowsky, 1874);7;200;7;200
Eulimnogammarus ibex atrichus Bazikalova, 1945;50;290;4;290
Eulimnogammarus capreolus (Dybowsky, 1874);25;200;7;200
Eulimnogammarus toxophthalmus (Dybowsky, 1874);120;120;120;120
Eulimnogammarus violaceus (Dybowsky, 1874);1.5;140;1.5;450
Eulimnogammarus epimeralis (Sowinsky, 1915);14;14;14;14
Eulimnogammarus sophiae (Dybowsky, 1874);50;140;28;625
Eulimnogammarus laevis (Sowinsky, 1915);120;120;120;120
Eulimnogammarus abyssalis (Sowinsky, 1915);1200;1200;1200;1200
Heterogammarus sophianosii (Dybowsky, 1874);1.5;100;1.5;100
Heterogammarus sophianosii scirtes (Dybowsky, 1874);1;50;1;50
Heterogammarus bifasciatus (Dybowsky, 1874);0.5;8;0.5;8
Tengisia capella (Dybowsky, 1874);82;100;82;100
Tengisia sowinskii (Bazikalova, 1945);3;300;3;300
Tengisia ignota (Dybowsky, 1874);800;900;800;900
Tengisia incerta (Sowinsky, 1915);890;890;890;890
Profundalia tenuis (Bazikalova, 1945);5;1400;5;1400
Sluginella (Sluginella) gracilicornis (Bazikalova, 1945);53;263;53;263
Sluginella (Sluginella) stanislavii (Dybowsky, 1874);100;100;100;100
Sluginella (Sluginella) pachycerus (Bazikalova, 1945);53;200;53;838
Sluginella (Lamugammarus) kietlinskii (Dybowsky, 1874);1;1200;1;1200
Sluginella (Lamugammarus) macrophthalma (Bazikalova, 1945);150;800;9;800
Sluginella (Lamugammarus) tenuipes (Sowinsky, 1915);325;891;9;891
Sluginella (Lamugammarus) crassicornis (Sowinsky, 1915);90;294;90;294
Barguzinia calceolata (Sowinsky, 1915);1240;1240;1240;1240
Abyssogammarus sarmatus (Dybowsky, 1874);405;1329;405;1329
Abyssogammarus echinatus Bazikalova, 1935;102;758;102;758
Abyssogammarus gracilis Sowinsky, 1915;450;625;450;625
Abyssogammarus minor Bazikalova, 1945;354;354;354;354
Laxmannia swartschewskii (Sowinsky, 1915);185;1300;185;1300
Lobogammarus latus Bazikalova, 1945;470;731;470;731
Pachyschesis branchialis (Dybowsky, 1874);200;1131;30;1131
Pachyschesis bazikalovae G, Karaman, 1976;100;1050;100;1050
Pachyschesis crassus (Sowinsky, 1915);270;1240;270;1240
Pachyschesis bergi Bazikalova, 1945;102;1050;102;1050
Pachyschesis acanthogammarii Tachteew, 2001;100;980;100;980
Pachyschesis bumammus Tachteew, 2001;192;830;192;830
Pachyschesis cucuschonok Tachteew, 2001;102;1050;102;1050
Pachyschesis indiscretus Tachteew, 2001;14;50;14;50
Pachyschesis inquilinus Tachteew, 2001;400;830;400;830
Pachyschesis karabanowi Tachteew, 2001;300;1050;300;1050
Pachyschesis lamakini Tachteew, 2001;170;1050;170;1050
Pachyschesis pinguiculus Tachteew, 2001;145;920;145;920
Pachyschesis punctiommatus Tachteew, 2001;196;1050;196;1050
Pachyschesis rarus Tachteew, 2001;775;1050;775;1050
Pachyschesis sideljowae Tachteew, 2001;100;810;100;810
Pachyschesis vorax Tachteew, 2001;775;1080;775;1080
